time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1732873776383428000,-19.215572021484373,88.37059049307568,-1,-1,37.50362457690808,70.11267308890088,-1,21.7474711942655,30,126.95607066581574,-1
1732873795714930200,0.11593017578125,88.37059049307568,-1,-1,37.50362457690808,70.11267308890088,-1,21.7474711942655,30,126.95607066581574,-1
1732873795715561000,0.11656103515625,89.54506114209808,-1,-1,37.50362912264568,71.28697589124359,-1,35.42820108743935,30,126.95608958873542,-1
1732873795749235200,0.150235107421875,89.54550746167816,-1,-1,37.50362947121603,71.28697589124359,-1,35.41722625537179,30.000000000087024,126.95608983488226,-1
1732873796527714000,0.928714111328125,89.98728665261714,-1,-1,37.50360069854239,71.72921284585445,-1,27.56340971607411,30,126.95608958118878,-1
1732873801940160000,6.341159912109375,96.52808525085449,-1,-1,37.503610297823464,78.27,-1,28.752001912360903,30,126.95609681183016,-1
1732873802375234000,6.776234130859375,92.38361372861651,-1,-1,37.50361718798717,74.12560667905596,-1,24.03423968600004,30,126.95608995420338,-1
1732873807940096800,12.3410966796875,96.52808525085449,-1,-1,37.503621878270984,78.27,-1,27.742345839364813,30,126.95609658987293,-1
1732873808386470000,12.787469970703125,94.94599145070657,-1,-1,37.503621886680236,76.68790619985208,-1,27.80750626141136,30,126.95609660177008,-1
1732873808451116000,12.852115966796875,90.98126749015111,-1,-1,37.50361972798321,72.72321466422338,-1,23.083597109500218,30,126.9560994569735,-1
