time,seconds_elapsed,temperature
1732873982874000000,1.003999755859375,17.8
1732873983875000000,2.005,17.8
1732873984875000000,3.005,17.8
1732873985882000000,4.011999755859375,17.8
1732873986879000000,5.009,17.8
1732873987881000000,6.011,17.8
1732873988880000000,7.01,17.8
1732873989879000000,8.009,17.8
1732873990882000000,9.011999755859375,17.8
1732873991879000000,10.009,17.8
1732873992880000000,11.01,17.8
1732873993882000000,12.011999755859375,17.8
1732873994880000000,13.01,17.8
1732873995881000000,14.011,17.8
1732873996881000000,15.011,17.8
1732873997883000000,16.013,17.8
1732873998882000000,17.011999755859375,17.8
1732873999882000000,18.011999755859375,17.8
1732874000884000000,19.014,17.8
1732874001883000000,20.013,17.8
1732874002883000000,21.013,17.8
1732874003884000000,22.014,17.8
1732874004884000000,23.014,17.8
1732874005886000000,24.016000244140624,17.8
1732874006884000000,25.014,17.8
1732874007884000000,26.014,17.8
1732874008885000000,27.015,17.8
1732874009889000000,28.019,17.8
1732874010888000000,29.018,17.8
1732874011890000000,30.019999755859374,17.8
1732874012887000000,31.017,17.8
1732874013888000000,32.018,17.8
